Series ID,Team Name,Opponent Name,Series Wins,Series Losses,Advance Probability,Win in 3,Win in 4,Win in 5,Win in 6,Win in 7
ALCS,Seattle Mariners,Texas Rangers,2,4,0.0%,,,,,
ALCS,Texas Rangers,Seattle Mariners,4,2,100.0%,,,,100.0%,
ALDS1,Texas Rangers,Toronto Blue Jays,3,2,100.0%,,,100.0%,,
ALDS1,Toronto Blue Jays,Texas Rangers,2,3,0.0%,,,,,
ALDS2,Oakland Athletics,Seattle Mariners,1,3,0.0%,,,,,
ALDS2,Seattle Mariners,Oakland Athletics,3,1,100.0%,,100.0%,,,
NLCS,Arizona Diamondbacks,Pittsburgh Pirates,4,1,100.0%,,,100.0%,,
NLCS,Pittsburgh Pirates,Arizona Diamondbacks,1,4,0.0%,,,,,
NLDS1,Arizona Diamondbacks,San Francisco Giants,3,2,100.0%,,,100.0%,,
NLDS1,San Francisco Giants,Arizona Diamondbacks,2,3,0.0%,,,,,
NLDS2,Atlanta Braves,Pittsburgh Pirates,1,3,0.0%,,,,,
NLDS2,Pittsburgh Pirates,Atlanta Braves,3,1,100.0%,,100.0%,,,
WS,Arizona Diamondbacks,Texas Rangers,4,1,100.0%,,,100.0%,,
WS,Texas Rangers,Arizona Diamondbacks,1,4,0.0%,,,,,
